Origin,Orig Long,Orig Lat,Dest Long,Dest Lat,Times
Manhattan,-73.980919,40.764191,-73.783913,40.757893,0
Brooklyn,-73.9897,40.701202,-73.984467,40.756142,0
Manhattan,-73.986656,40.748672,-73.966736,40.804047,0
Manhattan,-73.999863,40.728523,-73.990829,40.728096,0
Brooklyn,-73.957748,40.717781,-73.909714,40.696384,0
Manhattan,-73.991264,40.749767,-73.948341,40.691792,0
Brooklyn,-73.956451,40.718983,-73.953125,40.728016,0
Manhattan,-73.973564,40.747696,-73.990509,40.723438,0
Manhattan,-73.978737,40.728436,-73.96949,40.695812,0
Manhattan,-73.951775,40.773697,-73.978111,40.741711,0
Manhattan,-73.989525,40.741638,-74.01313,40.632107,0
Manhattan,-73.946854,40.780205,-73.970963,40.751308,0
Manhattan,-73.991081,40.765903,-73.973389,40.795078,0
Manhattan,-73.977158,40.779621,-73.99147,40.759926,0
Manhattan,-74.005074,40.720432,-73.991119,40.749077,0
Queens,-73.922272,40.77211,-73.95726,40.76741,0
Manhattan,-73.962692,40.799171,-73.941307,40.806011,0
Manhattan,-73.98735,40.738823,-73.998604,40.734066,0
Manhattan,-74.004639,40.741936,-74.004013,40.717194,0
Queens,-73.87352,40.773914,-73.987877,40.73822,0
Manhattan,-73.982918,40.730824,-73.996658,40.720379,0
Manhattan,-74.002098,40.750538,-73.990265,40.750027,0
Manhattan,-73.980843,40.738075,-73.983971,40.733753,0
Manhattan,-73.989853,40.756989,-73.981003,40.779556,0
Manhattan,-73.987762,40.721203,-73.984444,40.724781,0
Manhattan,-74.006645,40.744217,-73.979935,40.761055,0
Manhattan,-73.983284,40.726501,-73.976791,40.790916,0
Manhattan,-73.989807,40.723362,-73.953819,40.770603,0
Manhattan,-74.0047,40.723694,-73.858612,40.738861,0
Manhattan,-73.993927,40.754047,-73.87085,40.772057,0
Manhattan,-73.988434,40.764267,-73.997375,40.753883,0
Manhattan,-73.989845,40.729473,-73.99395,40.7565,0
Manhattan,-73.991592,40.726269,-73.984444,40.756935,0
Manhattan,-73.984093,40.732014,-73.972534,40.749119,0
Manhattan,-73.974487,40.746788,-73.994904,40.755291,0
Manhattan,-73.952225,40.777119,-73.998665,40.76099,0
Manhattan,-74.003761,40.719761,-73.980499,40.730534,0
Manhattan,-73.977654,40.761196,-73.993034,40.688328,0
Manhattan,-73.988144,40.731972,-73.988937,40.765923,0
Manhattan,-73.996902,40.762791,-73.904655,40.775288,0
Manhattan,-73.961746,40.77956,-73.995758,40.733135,0
