Origin,Orig Long,Orig Lat,Destination,Dest Long,Dest Lat,Times
Manhattan,-73.97802,40.741886,Manhattan,-74.008362,40.749214,0
Manhattan,-73.9617,40.764496,Brooklyn,-73.990196,40.687485,0
Manhattan,-73.956055,40.772114,Manhattan,-73.952477,40.782322,0
Manhattan,-73.988808,40.763672,Manhattan,-74.000587,40.75827,0
Manhattan,-73.964165,40.792545,Manhattan,-73.946869,40.805767,0
Manhattan,-73.989578,40.772881,Manhattan,-73.97377,40.789406,0
Manhattan,-74.016403,40.71492,Manhattan,-73.9552,40.768944,0
Manhattan,-73.97345,40.782753,Manhattan,-73.960258,40.775978,0
Manhattan,-73.965164,40.790913,Manhattan,-73.936905,40.793652,0
Manhattan,-73.971695,40.761032,Manhattan,-73.990913,40.750629,0
Manhattan,-73.966576,40.752949,Manhattan,-73.9888,40.756088,0
Manhattan,-73.971146,40.798248,Manhattan,-73.985527,40.776604,0
Manhattan,-73.980347,40.765266,Manhattan,-74.00058,40.731468,0
Manhattan,-73.975441,40.752869,Manhattan,-73.955421,40.768543,0
Manhattan,-73.974571,40.763023,Manhattan,-74.010887,40.701862,0
Manhattan,-73.977165,40.789757,Manhattan,-73.97007,40.799755,0
Manhattan,-73.989105,40.77758,Manhattan,-73.981384,40.779099,0
